1;4;8;
2;200;378;
3;378;377;
4;377;376;
5;376;160;
6;160;379;
7;379;159;
8;159;380;
9;380;14;
10;14;375;
11;375;7;
12;7;774;
13;774;3;
14;3;4;
15;2;765;
16;765;3;
17;3;5;
18;4;260;
19;260;952;
20;952;951;
21;951;10;
22;16;282;
23;282;221;
24;154;912;
25;912;930;
26;930;305;
27;305;17;
28;19;835;
29;835;20;
30;258;400;
31;400;257;
32;257;323;
33;323;629;
34;33;981;
35;981;37;
36;37;38;
37;33;942;
38;942;36;
39;36;244;
40;244;35;
41;35;245;
42;245;937;
43;937;212;
44;31;33;
45;43;368;
46;368;366;
47;366;365;
48;365;42;
49;42;41;
50;41;372;
51;372;264;
52;264;262;
53;262;40;
54;40;263;
55;263;39;
56;39;374;
57;374;254;
58;254;200;
59;23;801;
60;801;47;
61;47;640;
62;640;53;
63;53;638;
64;638;52;
65;52;639;
66;639;775;
67;775;438;
68;438;788;
69;788;51;
70;51;538;
71;538;535;
72;535;537;
73;537;50;
74;50;49;
75;49;536;
76;536;266;
77;266;787;
78;787;265;
79;265;48;
80;368;837;
81;837;250;
82;250;363;
83;363;55;
84;55;361;
85;361;364;
86;364;54;
87;54;15;
88;59;62;
89;62;61;
90;61;832;
91;832;60;
92;157;230;
93;230;63;
94;63;879;
95;879;229;
96;229;880;
97;880;881;
98;881;105;
99;200;15;
100;15;161;
101;161;12;
102;16;109;
103;109;953;
104;953;10;
105;71;111;
106;111;110;
107;110;857;
108;857;70;
109;70;296;
110;296;876;
111;876;877;
112;877;96;
113;96;878;
114;878;63;
115;73;72;
116;76;77;
117;18;923;
118;923;845;
119;845;80;
120;80;211;
121;211;79;
122;79;843;
123;843;78;
124;153;158;
125;158;81;
126;83;855;
127;855;84;
128;84;85;
129;85;86;
130;86;87;
131;44;238;
132;238;998;
133;998;45;
134;81;82;
135;82;83;
136;83;71;
137;81;71;
138;10;906;
139;906;261;
140;261;905;
141;905;13;
142;13;954;
143;954;904;
144;904;1006;
145;1006;1008;
146;1008;955;
147;955;44;
148;93;95;
149;95;645;
150;645;643;
151;643;646;
152;646;163;
153;93;810;
154;810;653;
155;653;655;
156;655;26;
157;26;915;
158;915;916;
159;916;27;
160;59;58;
161;58;924;
162;924;18;
163;157;102;
164;102;872;
165;872;101;
166;101;871;
167;871;100;
168;100;870;
169;870;869;
170;869;99;
171;99;868;
172;868;866;
173;866;867;
174;867;98;
175;98;885;
176;885;298;
177;298;296;
178;70;106;
179;106;107;
180;107;108;
181;108;948;
182;948;947;
183;947;943;
184;943;944;
185;944;950;
186;950;946;
187;946;949;
188;949;945;
189;945;1029;
190;1029;1028;
191;110;224;
192;111;112;
193;112;1032;
194;1032;113;
195;113;1033;
196;1033;114;
197;114;115;
198;115;116;
199;105;1024;
200;1024;888;
201;888;117;
202;117;118;
203;118;119;
204;119;120;
205;120;999;
206;999;44;
207;97;121;
208;121;957;
209;957;117;
210;128;814;
211;814;129;
212;172;130;
213;130;131;
214;131;132;
215;27;133;
216;735;732;
217;732;727;
218;727;731;
219;731;734;
220;734;728;
221;728;733;
222;733;729;
