1;35;132;
2;132;6;
3;121;118;
4;118;120;
5;120;119;
6;119;122;
7;122;125;
8;125;18;
9;18;13;
10;13;149;
11;149;124;
12;124;154;
13;154;9;
14;9;30;
15;30;10;
16;10;148;
17;148;155;
18;155;112;
19;112;11;
20;11;109;
21;109;104;
22;104;12;
23;12;147;
24;147;146;
25;146;33;
26;33;145;
27;145;126;
28;126;51;
29;51;49;
30;49;142;
31;142;141;
32;141;159;
33;159;123;
34;123;157;
35;157;156;
36;2;1;
37;1;29;
38;29;114;
39;114;6;
40;6;64;
41;64;63;
42;63;3;
43;3;7;
44;7;140;
45;140;139;
46;139;8;
47;44;21;
48;15;66;
49;66;23;
50;23;103;
51;103;14;
52;14;136;
53;136;27;
54;27;116;
55;116;36;
56;36;117;
57;117;52;
58;113;48;
59;48;129;
60;129;115;
61;115;28;
62;28;25;
63;25;128;
64;128;26;
65;26;76;
66;76;20;
67;20;65;
68;65;35;
69;35;19;
70;19;80;
71;80;133;
72;133;131;
73;131;98;
74;98;15;
75;33;31;
76;31;105;
77;105;37;
78;37;144;
79;144;50;
80;50;143;
81;143;158;
82;158;69;
83;20;87;
84;87;85;
85;85;73;
86;73;44;
87;44;83;
88;83;42;
89;42;54;
90;54;39;
91;39;19;
92;15;38;
93;38;53;
94;53;96;
95;96;40;
96;40;41;
97;41;99;
98;99;102;
99;102;23;
100;19;61;
101;61;62;
102;62;127;
103;127;4;
104;4;58;
105;58;137;
106;137;56;
107;24;134;
108;46;72;
109;72;75;
110;75;74;
111;74;77;
112;77;76;
113;47;71;
114;71;78;
115;78;77;
116;77;20;
117;70;71;
118;39;82;
119;82;86;
120;86;80;
121;15;134;
122;134;138;
123;138;32;
124;32;33;
125;21;81;
126;81;88;
127;88;45;
128;45;22;
129;22;84;
130;84;43;
131;43;79;
132;79;41;
133;95;94;
134;94;93;
135;93;91;
136;91;89;
137;89;90;
138;90;92;
139;98;97;
140;97;101;
141;101;100;
142;100;38;
143;109;106;
144;106;108;
145;108;110;
146;110;107;
147;107;111;
148;17;34;
149;34;16;
150;153;152;
151;152;151;
152;55;150;
153;150;135;
154;135;57;
155;57;130;
156;130;5;
157;5;60;
158;60;68;
159;68;67;
160;67;59;
161;59;15;
