1;1735;1407;
2;1407;22638;
3;22638;10;
4;10;1408;
5;1408;11;
6;11;1409;
7;1409;22639;
8;22639;12;
9;12;1410;
10;1410;13;
11;13;1411;
12;1411;1412;
13;1412;198;
14;195;1393;
15;1393;15;
16;15;1394;
17;1394;16;
18;16;17;
19;17;390;
20;390;18;
21;18;391;
22;391;19;
23;19;1395;
24;1395;20;
25;20;1396;
26;1396;21;
27;21;22;
28;22;20905;
29;20905;20904;
30;20904;20903;
31;389;23;
32;394;32;
33;32;395;
34;395;33;
35;33;396;
36;396;34;
37;34;397;
38;1;1400;
39;1400;2;
40;2;1401;
41;1401;3;
42;3;1403;
43;1403;1402;
44;1402;4;
45;4;1404;
46;1404;1405;
47;1405;1406;
48;6;1385;
49;1385;7;
50;7;8;
51;8;1384;
52;1384;8193;
53;8195;20012;
54;20012;20018;
55;20018;20019;
56;20019;1263;
57;1263;20021;
58;20021;4456;
59;4456;20020;
60;20020;4457;
61;4457;20016;
62;20016;20013;
63;20013;4458;
64;4458;20014;
65;20014;14;
66;14;398;
67;398;20017;
68;20017;20015;
69;20015;399;
70;399;20011;
71;20011;2004;
72;2004;408;
73;10767;15396;
74;15396;105;
75;4142;97;
76;97;98;
77;97;13487;
78;13487;13486;
79;13486;101;
80;101;13476;
81;13476;8492;
82;107;8496;
83;8496;16388;
84;16388;8497;
85;112;116;
86;8498;13694;
87;13694;13693;
88;13693;13692;
89;13692;7992;
90;7992;13695;
91;13695;7991;
92;7991;13696;
93;13696;131;
94;131;13691;
95;13691;115;
96;115;15118;
97;15118;111;
98;111;112;
99;110;14913;
100;14913;111;
101;111;113;
102;122;26819;
103;26819;4488;
104;4488;4512;
105;4512;4504;
106;4504;23492;
107;23492;4500;
108;4500;23493;
109;23493;23486;
110;23486;23487;
111;23487;4503;
112;4503;12389;
113;12389;12683;
114;12683;12684;
115;12684;11380;
116;11380;23489;
117;1164;119;
118;119;14837;
119;14837;120;
120;121;15000;
121;15000;14806;
122;14806;4185;
123;4185;4186;
124;4186;117;
125;119;26840;
126;26840;26841;
127;112;10809;
128;10809;26834;
129;26834;26833;
130;26833;123;
131;133;11347;
132;11347;8826;
